Designator	Device	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Pins	Layer	Rotation	SMD	Comment	Name
"C54"	"CC0603KRX7R9BB104"	"C0603"	"34.33mm"	"27.775mm"	"34.33mm"	"27.775mm"	"33.63mm"	"27.775mm"	"2"	"T"	"0"	"Yes"	"100nF"	"100nF"
"C55"	"CL10C180JB8NNNC"	"C0603"	"59mm"	"27.725mm"	"59mm"	"27.725mm"	"59.7mm"	"27.725mm"	"2"	"T"	"180"	"Yes"	"18pF"	"18pF"
"C56"	"CL10C180JB8NNNC"	"C0603"	"61.515mm"	"30.499mm"	"61.515mm"	"30.499mm"	"61.515mm"	"29.799mm"	"2"	"T"	"90"	"Yes"	"18pF"	"18pF"
"C57"	"CL10A475KO8NNNC"	"C0603"	"48.413mm"	"23.353mm"	"48.413mm"	"23.353mm"	"48.413mm"	"22.653mm"	"2"	"T"	"90"	"Yes"	"4.7uF"	"4.7uF"
"C58"	"CC0603KRX7R9BB104"	"C0603"	"51.222mm"	"23.353mm"	"51.222mm"	"23.353mm"	"51.222mm"	"22.653mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
"C59"	"CL10C330JB8NNNC"	"C0603"	"61.888mm"	"50.555mm"	"61.888mm"	"50.555mm"	"61.888mm"	"49.855mm"	"2"	"T"	"90"	"Yes"	"33pF"	"33pF"
"C60"	"CC0603KRX7R9BB104"	"C0603"	"75.395mm"	"58.05mm"	"75.395mm"	"58.05mm"	"76.095mm"	"58.05mm"	"2"	"T"	"180"	"Yes"	"100nF"	"100nF"
"C61"	"CC3D102KC2IEB46U31MF"	"CAP-TH_L6.8-W2.6-P5.08-D0.6-S2.1"	"4.2mm"	"15.3mm"	"4.2mm"	"15.3mm"	"5.225mm"	"17.842mm"	"2"	"T"	"270"	"No"	"1nF"	"1nF"
"C62"	"CC0603KRX7R9BB104"	"C0603"	"33.166mm"	"49.206mm"	"33.166mm"	"49.206mm"	"32.466mm"	"49.206mm"	"2"	"T"	"0"	"Yes"	"100nF"	"100nF"
"C63"	"CC0603KRX7R9BB104"	"C0603"	"82.052mm"	"22.975mm"	"82.052mm"	"22.975mm"	"82.752mm"	"22.975mm"	"2"	"T"	"180"	"Yes"	"100nF"	"100nF"
"C64"	"CC0603KRX7R9BB104"	"C0603"	"14.725mm"	"88.125mm"	"14.725mm"	"88.125mm"	"15.425mm"	"88.125mm"	"2"	"T"	"180"	"Yes"	"100nF"	"100nF"
"C65"	"CC0603KRX7R9BB104"	"C0603"	"101.727mm"	"22.975mm"	"101.727mm"	"22.975mm"	"102.427mm"	"22.975mm"	"2"	"T"	"180"	"Yes"	"100nF"	"100nF"
"C66"	"CC0603KRX7R9BB104"	"C0603"	"27.016mm"	"88.125mm"	"27.016mm"	"88.125mm"	"27.716mm"	"88.125mm"	"2"	"T"	"180"	"Yes"	"100nF"	"100nF"
"C67"	"CC0603KRX7R9BB104"	"C0603"	"39.288mm"	"88.125mm"	"39.288mm"	"88.125mm"	"39.988mm"	"88.125mm"	"2"	"T"	"180"	"Yes"	"100nF"	"100nF"
"C68"	"CC0603KRX7R9BB104"	"C0603"	"51.567mm"	"88.125mm"	"51.567mm"	"88.125mm"	"52.267mm"	"88.125mm"	"2"	"T"	"180"	"Yes"	"100nF"	"100nF"
"C69"	"TAJA106K016RNJ"	"CAP-SMD_L3.2-W1.6-RD-C7171"	"16.737mm"	"62.546mm"	"16.737mm"	"62.546mm"	"16.737mm"	"64.076mm"	"2"	"T"	"270"	"Yes"	"10uF"	"10uF"
"C70"	"CC0603KRX7R9BB104"	"C0603"	"18.495mm"	"63.03mm"	"18.495mm"	"63.03mm"	"18.495mm"	"62.33mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
"C71"	"CC0603KRX7R9BB104"	"C0603"	"63.807mm"	"88.125mm"	"63.807mm"	"88.125mm"	"64.507mm"	"88.125mm"	"2"	"T"	"180"	"Yes"	"100nF"	"100nF"
"C72"	"CC0603KRX7R9BB104"	"C0603"	"124.727mm"	"22.9mm"	"124.727mm"	"22.9mm"	"125.427mm"	"22.9mm"	"2"	"T"	"180"	"Yes"	"100nF"	"100nF"
"C73"	"CC0603KRX7R9BB104"	"C0603"	"76.042mm"	"88.125mm"	"76.042mm"	"88.125mm"	"76.742mm"	"88.125mm"	"2"	"T"	"180"	"Yes"	"100nF"	"100nF"
"C74"	"CC0603KRX7R9BB104"	"C0603"	"88.317mm"	"88.125mm"	"88.317mm"	"88.125mm"	"89.017mm"	"88.125mm"	"2"	"T"	"180"	"Yes"	"100nF"	"100nF"
"C75"	"CC0603KRX7R9BB104"	"C0603"	"100.566mm"	"88.125mm"	"100.566mm"	"88.125mm"	"101.266mm"	"88.125mm"	"2"	"T"	"180"	"Yes"	"100nF"	"100nF"
"C76"	"CC0603KRX7R9BB104"	"C0603"	"112.841mm"	"88.125mm"	"112.841mm"	"88.125mm"	"113.541mm"	"88.125mm"	"2"	"T"	"180"	"Yes"	"100nF"	"100nF"
"C77"	"CC0603KRX7R9BB104"	"C0603"	"125.068mm"	"88.125mm"	"125.068mm"	"88.125mm"	"125.768mm"	"88.125mm"	"2"	"T"	"180"	"Yes"	"100nF"	"100nF"
"C78"	"CC0603KRX7R9BB104"	"C0603"	"71.4mm"	"31.3mm"	"71.4mm"	"31.3mm"	"70.7mm"	"31.3mm"	"2"	"T"	"0"	"Yes"	"100nF"	"100nF"
