Designator	Device	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Pins	Layer	Rotation	SMD	Comment	Name
"CN29"	"KF2EDGR-3.5-3P"	"CONN-TH_3P-P3.50_KF2EDGR-3.5-3P"	"101.432mm"	"92mm"	"101.432mm"	"92mm"	"104.932mm"	"92mm"	"3"	"T"	"180"	"No"	"KF2EDGR-3.5-3P"	"KF2EDGR-3.5-3P"
"CN30"	"KF2EDGR-3.5-3P"	"CONN-TH_3P-P3.50_KF2EDGR-3.5-3P"	"113.687mm"	"92mm"	"113.687mm"	"92mm"	"117.187mm"	"92mm"	"3"	"T"	"180"	"No"	"KF2EDGR-3.5-3P"	"KF2EDGR-3.5-3P"
"CN31"	"KF2EDGR-3.5-3P"	"CONN-TH_3P-P3.50_KF2EDGR-3.5-3P"	"125.941mm"	"92mm"	"125.941mm"	"92mm"	"129.441mm"	"92mm"	"3"	"T"	"180"	"No"	"KF2EDGR-3.5-3P"	"KF2EDGR-3.5-3P"
"CN32"	"KF2EDGR-3.5-3P"	"CONN-TH_3P-P3.50_KF2EDGR-3.5-3P"	"29.288mm"	"8.005mm"	"29.288mm"	"8.005mm"	"25.788mm"	"8.005mm"	"3"	"T"	"0"	"No"	"KF2EDGR-3.5-3P"	"KF2EDGR-3.5-3P"
"CN33"	"KF2EDGR-3.5-2P"	"CONN-TH_P3.50_KF2EDGR-3.5-2P"	"141.911mm"	"50.644mm"	"141.911mm"	"50.644mm"	"141.911mm"	"48.894mm"	"2"	"T"	"90"	"No"	"KF2EDGR-3.5-2P"	"KF2EDGR-3.5-2P"
"CN34"	"KF2EDGR-3.5-4P"	"CONN-TH_4P-P3.50_KF2EDGR-3.5-4P"	"69.056mm"	"8.065mm"	"69.056mm"	"8.065mm"	"63.806mm"	"8.065mm"	"4"	"T"	"0"	"No"	"KF2EDGR-3.5-4P"	"KF2EDGR-3.5-4P"
"CN35"	"KF2EDGR-3.5-4P"	"CONN-TH_4P-P3.50_KF2EDGR-3.5-4P"	"84.815mm"	"8.065mm"	"84.815mm"	"8.065mm"	"79.565mm"	"8.065mm"	"4"	"T"	"0"	"No"	"KF2EDGR-3.5-4P"	"KF2EDGR-3.5-4P"
"CN36"	"KF2EDGR-3.5-4P"	"CONN-TH_4P-P3.50_KF2EDGR-3.5-4P"	"100.574mm"	"8.065mm"	"100.574mm"	"8.065mm"	"95.325mm"	"8.065mm"	"4"	"T"	"0"	"No"	"KF2EDGR-3.5-4P"	"KF2EDGR-3.5-4P"
"CN37"	"KF2EDGR-3.5-4P"	"CONN-TH_4P-P3.50_KF2EDGR-3.5-4P"	"116.333mm"	"8.065mm"	"116.333mm"	"8.065mm"	"111.084mm"	"8.065mm"	"4"	"T"	"0"	"No"	"KF2EDGR-3.5-4P"	"KF2EDGR-3.5-4P"
"CN38"	"KF2EDGR-3.5-4P"	"CONN-TH_4P-P3.50_KF2EDGR-3.5-4P"	"132.093mm"	"8.065mm"	"132.093mm"	"8.065mm"	"126.843mm"	"8.065mm"	"4"	"T"	"0"	"No"	"KF2EDGR-3.5-4P"	"KF2EDGR-3.5-4P"
"CN39"	"KF2EDGR-3.5-4P"	"CONN-TH_4P-P3.50_KF2EDGR-3.5-4P"	"141.91mm"	"38.325mm"	"141.91mm"	"38.325mm"	"141.91mm"	"33.075mm"	"4"	"T"	"90"	"No"	"KF2EDGR-3.5-4P"	"KF2EDGR-3.5-4P"
"CN40"	"KF2EDGR-3.5-5P"	"CONN-TH_5P-P3.50_KF2EDGR-3.5-5P"	"141.91mm"	"20.793mm"	"141.91mm"	"20.793mm"	"141.91mm"	"13.793mm"	"5"	"T"	"90"	"No"	"KF2EDGR-3.5-5P"	"KF2EDGR-3.5-5P"
"CN41"	"KF2EDGR-3.5-6P"	"CONN-TH_6P-P3.50_KF2EDGR-3.5-6P"	"48.354mm"	"8.065mm"	"48.354mm"	"8.065mm"	"39.604mm"	"8.065mm"	"6"	"T"	"0"	"No"	"KF2EDGR-3.5-6P"	"KF2EDGR-3.5-6P"
"CN42"	"KF2EDGR-3.5-2P"	"CONN-TH_P3.50_KF2EDGR-3.5-2P"	"141.911mm"	"59.625mm"	"141.911mm"	"59.625mm"	"141.911mm"	"57.875mm"	"2"	"T"	"90"	"No"	"KF2EDGR-3.5-2P"	"KF2EDGR-3.5-2P"
"C82"	"CC0603KRX7R9BB104"	"C0603"	"133.09mm"	"39.49mm"	"133.09mm"	"39.49mm"	"132.39mm"	"39.49mm"	"2"	"T"	"0"	"Yes"	"100nF"	"100nF"
"C83"	"CC0603KRX7R9BB104"	"C0603"	"124.78mm"	"34.172mm"	"124.78mm"	"34.172mm"	"124.78mm"	"34.872mm"	"2"	"T"	"270"	"Yes"	"100nF"	"100nF"
"C84"	"1206B103K500NT"	"C1206"	"135.4mm"	"35.265mm"	"135.4mm"	"35.265mm"	"135.4mm"	"36.858mm"	"2"	"T"	"270"	"Yes"	"10nF"	"10nF"
"D7"	"1N4742A_C140853"	"DO-41_BD2.4-L4.7-P8.70-D0.9-RD"	"128.09mm"	"29.95mm"	"128.09mm"	"29.95mm"	"132.44mm"	"29.95mm"	"2"	"T"	"180"	"No"	"1N4742A"	"1N4742A"
"LED6"	"KT-0805G"	"LED0805-R-RD"	"130.04mm"	"43.51mm"	"130.04mm"	"43.51mm"	"130.04mm"	"42.46mm"	"2"	"T"	"270"	"Yes"	"KT-0805G"	"KT-0805G"
"Q1"	"2N7002_C8545"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"84.424mm"	"48.06mm"	"84.424mm"	"48.06mm"	"85.374mm"	"49.06mm"	"3"	"T"	"90"	"Yes"	"2N7002"	"2N7002"
"Q2"	"2N7002_C8545"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"89.69mm"	"48.06mm"	"89.69mm"	"48.06mm"	"90.64mm"	"49.06mm"	"3"	"T"	"90"	"Yes"	"2N7002"	"2N7002"
"R116"	"0603WAF1002T5E"	"R0603"	"117.547mm"	"34.901mm"	"117.547mm"	"34.901mm"	"116.793mm"	"34.901mm"	"2"	"T"	"0"	"Yes"	"10kΩ"	"10kΩ"
"R117"	"0603WAF1002T5E"	"R0603"	"122.42mm"	"34.901mm"	"122.42mm"	"34.901mm"	"121.667mm"	"34.901mm"	"2"	"T"	"0"	"Yes"	"10kΩ"	"10kΩ"
"R120"	"0603WAF1002T5E"	"R0603"	"125.19mm"	"39.883mm"	"125.19mm"	"39.883mm"	"125.19mm"	"40.637mm"	"2"	"T"	"270"	"Yes"	"10kΩ"	"10kΩ"
"R121"	"0603WAF2001T5E"	"R0603"	"130.06mm"	"40.61mm"	"130.06mm"	"40.61mm"	"130.813mm"	"40.61mm"	"2"	"T"	"180"	"Yes"	"2kΩ"	"2kΩ"
"R122"	"0603WAF1002T5E"	"R0603"	"115.213mm"	"41.743mm"	"115.213mm"	"41.743mm"	"115.213mm"	"42.497mm"	"2"	"T"	"270"	"Yes"	"10kΩ"	"10kΩ"
"R123"	"0603WAF1001T5E"	"R0603"	"126.703mm"	"39.877mm"	"126.703mm"	"39.877mm"	"126.703mm"	"40.63mm"	"2"	"T"	"270"	"Yes"	"1kΩ"	"1kΩ"
"R124"	"0603WAF1002T5E"	"R0603"	"83.559mm"	"51.53mm"	"83.559mm"	"51.53mm"	"83.559mm"	"52.283mm"	"2"	"T"	"270"	"Yes"	"10kΩ"	"10kΩ"
"R125"	"0603WAF1001T5E"	"R0603"	"85.29mm"	"51.53mm"	"85.29mm"	"51.53mm"	"85.29mm"	"50.777mm"	"2"	"T"	"90"	"Yes"	"1kΩ"	"1kΩ"
"R126"	"0603WAF1001T5E"	"R0603"	"90.556mm"	"51.53mm"	"90.556mm"	"51.53mm"	"90.556mm"	"50.777mm"	"2"	"T"	"90"	"Yes"	"1kΩ"	"1kΩ"
"R127"	"0603WAF1002T5E"	"R0603"	"88.824mm"	"51.53mm"	"88.824mm"	"51.53mm"	"88.824mm"	"52.283mm"	"2"	"T"	"270"	"Yes"	"10kΩ"	"10kΩ"
"U23"	"LM358DR2G"	"SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL"	"129.71mm"	"35.52mm"	"129.71mm"	"35.52mm"	"127.005mm"	"37.425mm"	"8"	"T"	"270"	"Yes"	"LM358DR2G"	"LM358DR2G"
"R128"	"PV37W103C01B00"	"RES-ADJ-TH_L6.7-W4.5-P2.50_PV37W"	"119.79mm"	"40.85mm"	"119.79mm"	"40.85mm"	"117.29mm"	"39.6mm"	"3"	"T"	"0"	"No"	"10kΩ"	"10kΩ"
"R114"	"0402WGF220JTCE"	"R0402"	"44.85mm"	"52.6mm"	"44.85mm"	"52.6mm"	"44.417mm"	"52.6mm"	"2"	"T"	"0"	"Yes"	"22Ω"	"22Ω"
"R115"	"0402WGF220JTCE"	"R0402"	"44.85mm"	"51.6mm"	"44.85mm"	"51.6mm"	"44.417mm"	"51.6mm"	"2"	"T"	"0"	"Yes"	"22Ω"	"22Ω"
"MH5"	"MH_7.5x3.5mm"	"MH_7.5x3.5m"	"75mm"	"50mm"	"75mm"	"50mm"	"75mm"	"50mm"	"1"	"T"	"0"	"No"	"MH_7.5x3.5mm"	"MH_7.5x3.5mm"
